name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
"Aldrich, Royal, House",42.48508330000015,-83.35666499199993,building,2012,"Aldrich House
Royal Aldrich, a native of Farmington, New York, built this two-story Greek Revival farmhouse around 1840. His father, Esek, had purchased the 320-acre site from the United States government in 1823. Esek never lived here, but sold the property to Royal, who settled here in 1839. The house retains its original clapboard siding, interior woodwork, doors and hardware. It is supported by fourteen-inch to sixteen-inch walnut beams and a cobblestone basement foundation.",,https://catalog.archives.gov/id/25340218,Oakland,Farmington Hills
Saint Ignatius Loyola Church,47.120388349999985,-88.56492587099996,building,2012,"St. Ignatius Loyola Church
The roots of the Catholic Church in the Portage Lake area are associated with Bishop Frederic Baraga, the “Snowshoe Priest,” who dedicated the original St. Ignatius Loyola Church on July 31, 1859. Before the erection of that building, Catholics in Houghton worshipped in a boarding house and later a school. The present structure was completed in 1902, after four years of construction, under the direction of Father Anton Ivan Rezek. Father (later Monsignor) Rezek came as pastor in 1895 and remained in that position for fifty-one years. One of the most imposing edifice…",,https://catalog.archives.gov/id/25339431,Houghton,Houghton
Hillsdale County Courthouse,41.920557622000054,-84.63156282399996,building,2012,"Hillsdale
The plat for the village of Hillsdale was filed in July 1839, though the first settlement probably occurred a few years previously. Before that time this area had been inhabited mainly by a band of Potawatomi Indians led by their chief, Baw Beese. Jonesville was the first county seat, but Hillsdale gained this distinction in 1843 due to its more central location and the completion of the Michigan Southern Railroad to the town. The first Hillsdale County Fair was held on this site in 1851. Hillsdale College opened for classes in November 1855, and the city received its charter in Apr…",,https://catalog.archives.gov/id/25339375,Hillsdale,Hillsdale
Women's City Club,42.33738965999998,-83.05277885599997,building,2012,"Women's City Club of Detroit
William B. Stratton designed this building for the Women’s City Club of Detroit--founded in 1919 “to promote a broad acquaintance among women” and to further civic and cultural activities. The club, which grew to be one of the largest women’s clubs in the world with a membership of over eight thousand in the 1950s, occupied this building from 1924 to 1975. Mary Chase Perry Stratton’s Pewabic tile is featured throughout.",,https://catalog.archives.gov/id/25341090,Wayne,Detroit
Haymarket Historic District,42.29240655000005,-85.58031633899996,district,2012,"Haymarket Historic District
Development began in the Haymarket district as early as the 1830s and was spurred by the construction of the Grand Rapids and Indiana Railroad Depot in 1870. The district became a hub for retail, wholesaling and light manufacturing. It was the business center for the German community. The Desenberg Block at 251 East Michigan Avenue is Michigan’s only surviving example of the work of Chicago architects Dankmar Adler and Louis Sullivan.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/211/attachments/247,,Kalamazoo,Kalamazoo
Holly Union Depot,42.789124482000034,-83.62407098799999,building,2012,"Holly´s Railroads
In 1854 when “the last rail was laid and the last spike driven in the Detroit and Milwaukee Railway between Detroit and Holly” the Oakland County Advertiser reported “great rejoicing among Hollyites who had lived so long in the woods.” In 1858 Holly became Michigan’s first railroad junction following the completion of a second track, the Flint and Holly Railway. Before long, both railroads had expanded and reorganized, becoming two of Michigan’s leading lines, the Grand Trunk and the Pere Marquette. These routes connected Michigan’s dense old growth pine forests to the indus…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/214/attachments/249,https://catalog.archives.gov/id/25340304,Oakland,Holly
Trinity Episcopal Church,43.48780840600016,-83.39668650499993,building,2012,"Trinity Episcopal Church
This skillfully designed board and batten Gothic Revival church, first served local Episcopalians in 1880. The congregation had been formed in 1871, the year the town was incorporated. During the 1870s Caro grew to be a major commerce center for the Thumb area. By the 1920s, however, church membership dropped and the building was sold to the Nazarenes. In 1974 preservationists saved the church from demolition.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/227/attachments/262,https://catalog.archives.gov/id/25340575,Tuscola,Caro
Fairman Building,43.69816294900016,-85.48178182799995,building,2012,"Fairman Building
Banker Ferdinand Fairman (1833-1902) built this structure in 1880-81.  The upper floors housed offices, and the basement and first floor offered a variety of commercial businesses, including a combined tobacco store-billiard hall and Fairman’s bank.  The block was designed and built by Crocker and Hudnutt of Big Rapids.  Fairman closed his bank in 1889, but opened a new one in 1896 after the financial Panic of 1893 left the city without a bank.",,https://catalog.archives.gov/id/25340109,Mecosta,Big Rapids
"Belding, Alvah N., Memorial Library",43.09812523100003,-85.22615503899993,building,2012,"Alvah N. Belding Library
Alvah N. Belding erected this library in 1917-18 as a memorial to his parents, Hiram and Mary Wilson Belding. Alvah and his brother Hiram began peddling silk around Belding (then Patterson’s Mills) in 1858. With the help of their brother Milo they began the internationally known Belding Brothers and Company in 1863. Michigan’s first silk mill was erected here in 1886 and operated until 1932. This library, which cost fifty thousand dollars, was dedicated and presented to the city of Belding on May 14, 1918. It is the only structure built by the Beldings still being use…",,https://catalog.archives.gov/id/25339557,Ionia,Belding
Ionia County Courthouse,42.98342189700015,-85.06338391399998,building,2012,"Ionia County Courthouse
Completed in 1885, the Ionia County Courthouse is the largest structure ever built of Ionia sandstone. The handsome three-and-half-story courthouse replaced an 1840s hall of justice, which had become inadequate for the county’s needs. David W. Gibbs (1836-1917), of Toledo, Ohio, designed the 120-by-80-foot Classical Revival structure. The $42,380 courthouse was financed by a special tax levy, which was approved in 1883. The first county offices moved into the new building in January 1886 and court was first held in it in late February of that year. Formal dedication se…",,https://catalog.archives.gov/id/25339553,Ionia,Ionia
Genesee County Courthouse and Jail,43.01167144800013,-83.68814073999992,building,2012,"Genesee County Courthouse
Genesee County was organized on March 8, 1836. The previous year the territorial legislature had stipulated that the county seat would be located on the west side of the Saginaw Turnpike “on lands recently deeded by John Todd and wife” to Wait Beach.  Beach would in turn donate two acres of land to the county for “a courthouse and public square, one acre of ground for a burial ground, two churches and two school lots of common size.” The first courthouse and jail was constructed on this site in 1839. In 1866 an inmate in the jail burned the structure. The second cour…",,https://catalog.archives.gov/id/25339300,Genesee,Flint
"Players, The",42.342400926000025,-83.01397442899997,building,2012,"The Players
The Players, a Detroit gentlemen’s amateur theatre club founded in 1911, opened this playhouse in 1926. The handsome building was created by club members William E. Kapp, architect; Corrado Parducci, stone sculptor; and Paul Honoré, muralist. The playhouse, built in the style of the sixteenth-century English Renaissance, was one of the earliest major structures in the area to use cinder block laid in ashlar on its interior walls to give the appearance of cut stone. It has been in continual use as a playhouse since its completion.",,https://catalog.archives.gov/id/25341072,Wayne,Detroit
Rowe House,42.622708014000125,-83.64791015299988,building,2012,"Rowe House
Squire and Dolly Rowe, who settled here in 1835, built this elegant, cut fieldstone house in 1855. The solid cobblestone, beaded mortar joint construction is highlighted by the pleasing and sophisticated use of delicate scrollwork under the eaves and by the smooth chiseled quoins, lintels and sills. Squire Rowe grew to a position of prominence in the community. After twenty-five terms as township supervisor, he served in the state legislature in 1865, the year before his death.",,https://catalog.archives.gov/id/25340214,Oakland,Milford
First Congregational Church,42.563578898000166,-84.8378880979999,building,2012,"First Congregational Church of Charlotte
This handsome brick church was completed in 1881. Seven persons organized the congregation in 1851 in nearby Carmel Township. Moving to Charlotte the next year, they held services in the wooden courthouse and in 1856 built the city’s first place of worship, “The Basswood Church” on Bostwick Avenue. In 1873 construction of the present church began. Members made contributions to assure its finish. Local businessman Joseph Musgrave donated exterior brick originally purchased for his own home.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/332/attachments/406,https://catalog.archives.gov/id/25339250,Eaton,Charlotte
First (Park) Congregational Church,42.96415191600011,-85.66552987199992,building,2012,"First (Park) Congregational Church
On September 18, 1836, twenty-two persons founded one of the first Protestant congregations in Grand Rapids. Initially a Presbyterian parish, it was reorganized under the Congregational polity in 1839. The congregation occupied a former Roman Catholic chapel from 1842 to 1869. The present brick Gothic structure, completed in 1869, is the second oldest existing church building in the city. Additions were made in 1916 and 1950. The church was listed in the National Register of Historic Places in 1982.",,https://catalog.archives.gov/id/25339685,Kent,Grand Rapids
St. Josaphat's Roman Catholic Church Complex,42.35666123600009,-83.05279943999994,building,2012,"St. Josaphat Roman Catholic Church Complex
St. Josaphat’s, founded on June 1, 1889, was the third Polish-speaking Roman Catholic parish established in Detroit. On February 2, 1890, it dedicated a combination church and school building. Within a decade plans were begun for a new church rectory and a convent. In 1901 this late Victorian Romanesque-style church was completed at a cost of one hundred thousand dollars. The church was designed by Joseph G. Kastler and William E. N. Hunter. Local carpenters, Harcus and Lang and the Jermolowicz Brothers, were the builders. The stained glass was craft…",,https://catalog.archives.gov/id/25340858,Wayne,Detroit
