name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Steam Railroading Institute,42.99438,-84.17028,Railroad,,,"Heritage railroad with steam and diesel locomotives, freight and other cars",,https://en.wikipedia.org/wiki/Steam_Railroading_Institute,Shiawassee,Owosso
Steiner Museum,44.7533751,-84.0518459,Industry - Logging,,,Logging and pioneering history and artifacts[63],,https://en.wikipedia.org/wiki/Steiner_Museum?action=edit&redlink=1,Oscoda,Fairview
Stockton Center at Spring Grove,43.0161693,-83.6900211,Historic house,,,website,,https://en.wikipedia.org/wiki/Stockton_Center_at_Spring_Grove?action=edit&redlink=1,Genesee,Flint
Straight Farmhouse,42.3255929,-83.3310422,Local history,,,"website, home of the Garden City Historical Museum",,https://en.wikipedia.org/wiki/Straight_Farmhouse?action=edit&redlink=1,Wayne,Garden City
Tahquamenon Logging Museum,46.3704541,-85.5103571,Industry - Logging,,,"website, Michigan's early logging industry, includes a cook shack, original C.C.C. building, open seasonally",,https://en.wikipedia.org/wiki/Tahquamenon_Logging_Museum?action=edit&redlink=1,Luce,Newberry
Ten Cent Barn Museum,43.710016,-82.931607,Local history,,,"website, operated by the Ubly Area Historical Society",,https://en.wikipedia.org/wiki/Ten_Cent_Barn_Museum?action=edit&redlink=1,Huron,Ubly
Totem Village Museum,45.8686681,-84.7278146,Native American,,,Collection of totem poles and lumbering artifacts in a gift shop[67][68][69],,https://en.wikipedia.org/wiki/Totem_Village_Museum?action=edit&redlink=1,Mackinac,St. Ignace
Tower of History,46.4982,-84.3405,Local history,,,"website, observation tower and exhibits of early Missionaries, local & Native American history",,https://en.wikipedia.org/wiki/Tower_of_History,Chippewa,Sault Ste. Marie
Travelers Club International Restaurant & Tuba Museum,42.7221021,-84.4275259,Music,,,"website, restaurant and collection of tubas, sousaphones, French horns",,https://en.wikipedia.org/wiki/Travelers_Club_International_Restaurant_&_Tuba_Museum?action=edit&redlink=1,Ingham,Okemos
U.P. Steam & Gas Engine Antique Village & Agriculture Museum,45.7455707,-87.0647434,Technology,,,"website, operated by the U.P. Steam and Gas Engine Association, antique agriculture equipment and artifacts",,https://en.wikipedia.org/wiki/U.P._Steam_&_Gas_Engine_Antique_Village_&_Agriculture_Museum?action=edit&redlink=1,Delta,Escanaba
